samples,subject,channels,n_sessions,dataset,pipeline,score,time
45.0,19,64,1,PhysionetMotorImagery,LogVariance+LDA,0.45000002,0.086507775
45.0,19,64,1,PhysionetMotorImagery,LogVariance+SVM,0.43999997,0.086604655
45.0,19,64,1,PhysionetMotorImagery,MDM,0.42666665,0.3307978
45.0,19,64,1,PhysionetMotorImagery,TRCSP+LDA,0.48999998,0.33662212
45.0,19,64,1,PhysionetMotorImagery,TS+LR,0.49666667,0.33157742
45.0,19,64,1,PhysionetMotorImagery,TS+SVM,0.49,0.3293865
45.0,2,64,1,PhysionetMotorImagery,CSP+SVM,0.97999996,0.34628114
45.0,2,64,1,PhysionetMotorImagery,LogVariance+LDA,0.6933333,0.08612043
45.0,2,64,1,PhysionetMotorImagery,LogVariance+SVM,0.82,0.08551616
45.0,2,64,1,PhysionetMotorImagery,MDM,0.79333335,0.33421648
45.0,2,64,1,PhysionetMotorImagery,TRCSP+LDA,0.76666665,0.3491945
45.0,2,64,1,PhysionetMotorImagery,TS+LR,0.97,0.34543034
45.0,2,64,1,PhysionetMotorImagery,TS+SVM,0.93333334,0.34207058
45.0,20,64,1,PhysionetMotorImagery,CSP+SVM,0.74,0.3328735
45.0,20,64,1,PhysionetMotorImagery,LogVariance+LDA,0.5,0.08875052
45.0,20,64,1,PhysionetMotorImagery,LogVariance+SVM,0.48666668,0.08713931
45.0,20,64,1,PhysionetMotorImagery,MDM,0.6333334,0.32544956
45.0,20,64,1,PhysionetMotorImagery,TRCSP+LDA,0.38333333,0.33803874
45.0,20,64,1,PhysionetMotorImagery,TS+LR,0.71000004,0.33257496
45.0,20,64,1,PhysionetMotorImagery,TS+SVM,0.6366667,0.33160433
45.0,21,64,1,PhysionetMotorImagery,CSP+SVM,0.6033333,0.5754151
45.0,21,64,1,PhysionetMotorImagery,LogVariance+LDA,0.5333333,0.08699155
45.0,21,64,1,PhysionetMotorImagery,LogVariance+SVM,0.65333337,0.08446449
45.0,21,64,1,PhysionetMotorImagery,MDM,0.30666664,0.5927973
45.0,21,64,1,PhysionetMotorImagery,TRCSP+LDA,0.41,0.58027357
45.0,21,64,1,PhysionetMotorImagery,TS+LR,0.5333333,0.58905166
45.0,21,64,1,PhysionetMotorImagery,TS+SVM,0.33333334,0.58547914
45.0,22,64,1,PhysionetMotorImagery,CSP+SVM,0.9166667,0.32857466
45.0,22,64,1,PhysionetMotorImagery,LogVariance+LDA,0.84,0.08724334
45.0,22,64,1,PhysionetMotorImagery,LogVariance+SVM,0.84,0.08539017
45.0,22,64,1,PhysionetMotorImagery,MDM,0.54,0.323124
45.0,22,64,1,PhysionetMotorImagery,TRCSP+LDA,0.36666667,0.33462557
45.0,22,64,1,PhysionetMotorImagery,TS+LR,0.8766667,0.3276126
45.0,22,64,1,PhysionetMotorImagery,TS+SVM,0.57,0.32755122
45.0,23,64,1,PhysionetMotorImagery,CSP+SVM,0.62,0.3271635
45.0,23,64,1,PhysionetMotorImagery,LogVariance+LDA,0.38333333,0.08647129
45.0,23,64,1,PhysionetMotorImagery,LogVariance+SVM,0.45000002,0.085579336
45.0,23,64,1,PhysionetMotorImagery,MDM,0.62666667,0.33906075
45.0,23,64,1,PhysionetMotorImagery,TRCSP+LDA,0.5433333,0.3332399
45.0,23,64,1,PhysionetMotorImagery,TS+LR,0.61999995,0.3287579
45.0,23,64,1,PhysionetMotorImagery,TS+SVM,0.53999996,0.32647625
45.0,24,64,1,PhysionetMotorImagery,CSP+SVM,0.69,0.4518884
45.0,24,64,1,PhysionetMotorImagery,LogVariance+LDA,0.6033333,0.085403584
45.0,24,64,1,PhysionetMotorImagery,LogVariance+SVM,0.6566667,0.084119104
45.0,24,64,1,PhysionetMotorImagery,MDM,0.41333333,0.45299676
45.0,24,64,1,PhysionetMotorImagery,TRCSP+LDA,0.6066667,0.45689678
45.0,24,64,1,PhysionetMotorImagery,TS+LR,0.63000005,0.45724833
45.0,24,64,1,PhysionetMotorImagery,TS+SVM,0.48,0.4505235
45.0,25,64,1,PhysionetMotorImagery,CSP+SVM,0.63666666,0.32844567
45.0,25,64,1,PhysionetMotorImagery,LogVariance+LDA,0.6566667,0.08643185
45.0,25,64,1,PhysionetMotorImagery,LogVariance+SVM,0.66,0.08376034
45.0,25,64,1,PhysionetMotorImagery,MDM,0.47,0.3209488
45.0,25,64,1,PhysionetMotorImagery,TRCSP+LDA,0.4733333,0.3328305
45.0,25,64,1,PhysionetMotorImagery,TS+LR,0.61999995,0.32968804
45.0,25,64,1,PhysionetMotorImagery,TS+SVM,0.49333334,0.32907858
45.0,26,64,1,PhysionetMotorImagery,CSP+SVM,0.81666666,0.36961114
45.0,26,64,1,PhysionetMotorImagery,LogVariance+LDA,0.64000005,0.08697361
45.0,26,64,1,PhysionetMotorImagery,LogVariance+SVM,0.76666665,0.08494542
45.0,26,64,1,PhysionetMotorImagery,MDM,0.4333333,0.37247595
45.0,26,64,1,PhysionetMotorImagery,TRCSP+LDA,0.6466667,0.37573624
45.0,26,64,1,PhysionetMotorImagery,TS+LR,0.75333333,0.37137166
45.0,26,64,1,PhysionetMotorImagery,TS+SVM,0.48000002,0.3699673
45.0,27,64,1,PhysionetMotorImagery,CSP+SVM,0.68666667,0.33261892
45.0,27,64,1,PhysionetMotorImagery,LogVariance+LDA,0.4766667,0.08889654
45.0,27,64,1,PhysionetMotorImagery,LogVariance+SVM,0.47666666,0.087317206
45.0,27,64,1,PhysionetMotorImagery,MDM,0.50333333,0.3244528
45.0,27,64,1,PhysionetMotorImagery,TRCSP+LDA,0.48000002,0.3395561
45.0,27,64,1,PhysionetMotorImagery,TS+LR,0.66,0.3325298
45.0,27,64,1,PhysionetMotorImagery,TS+SVM,0.5466666,0.3333358
45.0,28,64,1,PhysionetMotorImagery,CSP+SVM,0.33333334,0.32783288
45.0,28,64,1,PhysionetMotorImagery,LogVariance+LDA,0.38666666,0.08808416
45.0,28,64,1,PhysionetMotorImagery,LogVariance+SVM,0.39666668,0.08637995
45.0,28,64,1,PhysionetMotorImagery,MDM,0.37666667,0.32085755
45.0,28,64,1,PhysionetMotorImagery,TRCSP+LDA,0.48666668,0.33203477
45.0,28,64,1,PhysionetMotorImagery,TS+LR,0.32666668,0.332021
45.0,28,64,1,PhysionetMotorImagery,TS+SVM,0.32333335,0.33156058
45.0,29,64,1,PhysionetMotorImagery,CSP+SVM,0.9866667,0.35538366
45.0,29,64,1,PhysionetMotorImagery,LogVariance+LDA,0.6033333,0.08600137
45.0,29,64,1,PhysionetMotorImagery,LogVariance+SVM,0.62333333,0.08399186
45.0,29,64,1,PhysionetMotorImagery,MDM,0.7833333,0.3542209
45.0,29,64,1,PhysionetMotorImagery,TRCSP+LDA,0.7966667,0.35859495
45.0,29,64,1,PhysionetMotorImagery,TS+LR,0.9766667,0.3526229
45.0,29,64,1,PhysionetMotorImagery,TS+SVM,0.8766667,0.35655913
45.0,3,64,1,PhysionetMotorImagery,CSP+SVM,0.6333334,0.32805118
45.0,3,64,1,PhysionetMotorImagery,LogVariance+LDA,0.51666665,0.08855259
45.0,3,64,1,PhysionetMotorImagery,LogVariance+SVM,0.51,0.0860081
45.0,3,64,1,PhysionetMotorImagery,MDM,0.45666668,0.3241602
45.0,3,64,1,PhysionetMotorImagery,TRCSP+LDA,0.53666663,0.33405733
45.0,3,64,1,PhysionetMotorImagery,TS+LR,0.61,0.33304855
45.0,3,64,1,PhysionetMotorImagery,TS+SVM,0.48333335,0.33280814
45.0,30,64,1,PhysionetMotorImagery,CSP+SVM,0.43666667,0.36391956
45.0,30,64,1,PhysionetMotorImagery,LogVariance+LDA,0.46,0.08547276
45.0,30,64,1,PhysionetMotorImagery,LogVariance+SVM,0.42333332,0.083862655
45.0,30,64,1,PhysionetMotorImagery,MDM,0.40666667,0.35335323
45.0,30,64,1,PhysionetMotorImagery,TRCSP+LDA,0.42333332,0.37397948
45.0,30,64,1,PhysionetMotorImagery,TS+LR,0.41333333,0.36688542
45.0,30,64,1,PhysionetMotorImagery,TS+SVM,0.29999998,0.3706869
45.0,31,64,1,PhysionetMotorImagery,CSP+SVM,0.9533333,0.35411254
45.0,31,64,1,PhysionetMotorImagery,LogVariance+LDA,0.6933333,0.08821112
45.0,31,64,1,PhysionetMotorImagery,LogVariance+SVM,0.78999996,0.086767994
45.0,31,64,1,PhysionetMotorImagery,MDM,0.65000004,0.34536266
45.0,31,64,1,PhysionetMotorImagery,TRCSP+LDA,0.78,0.36108744
45.0,31,64,1,PhysionetMotorImagery,TS+LR,0.9433333,0.35468444
45.0,31,64,1,PhysionetMotorImagery,TS+SVM,0.7166667,0.35098687
45.0,32,64,1,PhysionetMotorImagery,CSP+SVM,0.98333335,0.3523239
45.0,32,64,1,PhysionetMotorImagery,LogVariance+LDA,0.62333333,0.08881283
45.0,32,64,1,PhysionetMotorImagery,LogVariance+SVM,0.73,0.08679027
45.0,32,64,1,PhysionetMotorImagery,MDM,0.6233333,0.34833634
45.0,32,64,1,PhysionetMotorImagery,TRCSP+LDA,0.47,0.361045
45.0,32,64,1,PhysionetMotorImagery,TS+LR,0.94666666,0.35979256
45.0,32,64,1,PhysionetMotorImagery,TS+SVM,0.68333334,0.34516695
45.0,33,64,1,PhysionetMotorImagery,CSP+SVM,0.67333335,0.3291874
45.0,33,64,1,PhysionetMotorImagery,LogVariance+LDA,0.62666667,0.0859983
45.0,33,64,1,PhysionetMotorImagery,LogVariance+SVM,0.74333334,0.08671072
45.0,33,64,1,PhysionetMotorImagery,MDM,0.6166666,0.3229472
45.0,33,64,1,PhysionetMotorImagery,TRCSP+LDA,0.65333337,0.3398038
45.0,33,64,1,PhysionetMotorImagery,TS+LR,0.68,0.32903868
45.0,33,64,1,PhysionetMotorImagery,TS+SVM,0.66,0.32962236
45.0,34,64,1,PhysionetMotorImagery,CSP+SVM,0.9533333,0.32747096
45.0,34,64,1,PhysionetMotorImagery,LogVariance+LDA,0.66,0.08553698
45.0,34,64,1,PhysionetMotorImagery,LogVariance+SVM,0.76,0.084852636
45.0,34,64,1,PhysionetMotorImagery,MDM,0.80333334,0.31962317
45.0,34,64,1,PhysionetMotorImagery,TRCSP+LDA,0.65666664,0.33113778
45.0,34,64,1,PhysionetMotorImagery,TS+LR,0.93666667,0.32513908
45.0,34,64,1,PhysionetMotorImagery,TS+SVM,0.8633333,0.3285161
45.0,35,64,1,PhysionetMotorImagery,CSP+SVM,0.84666663,0.34816208
